sample_id,visit_id,pcr_primers_ae,total_sequencing_reads_ae,reads_with_pcr_primers_ae,filtered_reads_ae,pcr_primers_tb,total_sequencing_reads_tb,reads_with_pcr_primers_tb,filtered_reads_tb,anaplasma_bovis_u03775_ae,anaplasma_bovis_ab983439_ae,anaplasma_marginale_cp000030_ae,anaplasma_platys_like_ku585990_ae,anaplasma_phagocytophilum_u02521_ae,candidatus_anaplasma_boleense_ku586025_ae,uncultured_anaplasma_sp_clone_saso_ky924885_ae,uncultured_anaplasma_sp_jn862825_ae,ehrlichia_sp_tibet_ehrlichia_canis_ehrlichia_minasensis_af414399_ay394465_mt163430_ae,ehrlichia_ruminantium_x61659_ae,anaplasma_platys_ef139459_ae,babesia_bigemina_ay603402_tb,babesia_bigemina_lk391709_tb,babesia_bigemina_ku206291_tb,theileria_mutans_af078815_tb,theileria_sp_strain_msd_af078816_tb,theileria_parva_l02366_tb,theileria_taurotragi_l19082_tb,theileria_velifera_af097993_tb,babesia_bovis_kf928959_tb,babesia_bovis_aaxt01000002_tb,babesia_bovis_ay603398_tb,babesia_bigemina_lk391709_2_tb,babesia_bovis_jq437260_tb,calf_id,visit_date,dead_or_alive_at_end_of_study,date_last_visit_with_data,date_of_birth,calf_sex,serology_t_parva,serology_t_mutans,serology_b_bigemina,serology_a_marginale,sample_week,date_of_death,euthanised,immediate_cause_pathology,definitive_aetiological_cause,definitive_cause_pathogen,contributing_pathology_1,contributing_cause_1,agro_ecological_zones,haemonchosis_coinfection,dead_or_alive_simple,event,time_to_event,genotype,died
RED002144,VRC110523,AnEh,7056,5064,3994,ThBa,444,40,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA051810523,2008-11-17,Alive,NA,2008-09-01,F,20.5,6,2.5,9.5,11,NA,NA,NA,Alive,NA,NA,NA,Luanda (18),NA,Alive,0,51,CC,No
RED002146,VRC460515,AnEh,40625,32381,28713,ThBa,14373,8626,7644,0,0,0,14283,0,0,0,0,0,0,0,0,0,0,5214,1009,0,0,1403,0,0,0,0,0,CA051810515,2008-11-17,Alive,NA,2008-01-05,F,99.5,16.5,8,27,46,NA,NA,NA,Alive,NA,NA,NA,Luanda (18),NA,Alive,0,51,CT,No
RED002149,VRC260396,AnEh,198909,169002,154018,ThBa,16321,7690,6208,0,0,0,55051,0,0,31169,0,0,0,0,0,0,0,538,0,0,0,5396,0,0,0,0,0,CA031410396,2008-11-18,Alive,NA,2008-05-28,M,3,61.5,9.5,4.5,26,NA,NA,NA,Alive,NA,NA,NA,Simur East (14),NA,Alive,0,51,TT,No
RED002150,VRC460393,AnEh,18578,12263,10273,ThBa,3921,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA031410393,2008-11-18,Alive,NA,2008-01-20,F,20.5,8,4,5,46,NA,NA,NA,Alive,NA,NA,NA,Simur East (14),NA,Alive,0,51,CT,No
RED002151,VRC310395,AnEh,376756,345425,309336,ThBa,2466,1337,953,2302,3365,0,252741,0,0,50928,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,CA031410395,2008-11-18,Dead: Death by trauma,2009-01-27,2008-04-19,F,91,89,2.5,17.5,31,2009-02-19,Yes,Dislocated fetlock joint,Censored,NA,NA,NA,Simur East (14),absent,Dead,0,43.714285714285715,TT,Other
RED002152,VRC460392,AnEh,20468,16269,14874,ThBa,43051,31481,24211,0,11246,0,2685,0,0,0,0,0,0,0,0,0,0,7906,4691,0,0,11386,0,0,0,0,0,CA031410392,2008-11-18,Alive,NA,2008-01-15,F,6.5,29,10,6,46,NA,NA,NA,Alive,NA,NA,NA,Simur East (14),NA,Alive,0,51,CT,No
RED002154,VRC310394,AnEh,447875,335635,286153,ThBa,41549,30790,22846,0,1972,0,41589,0,0,0,0,0,0,0,0,0,0,11296,4917,5598,0,1023,0,0,0,0,0,CA031410394,2008-11-18,Alive,NA,2008-04-15,M,28.5,4,5.5,4.5,31,NA,NA,NA,Alive,NA,NA,NA,Simur East (14),NA,Alive,0,51,CT,No
RED002155,VCC010487,NA,0,0,0,NA,0,0,0,0,0,0,6704,1427,0,8528,0,0,0,0,0,0,0,35560,12008,0,0,7253,0,0,0,0,0,CA041710487,2008-11-18,Dead: Infectious death,2008-11-11,2008-06-19,M,NA,NA,NA,NA,1,2008-12-05,No,Interstitial pneumonia,Censored,Ehrlichia ruminatum,Pulmonary oedema,Unknown,Kodiere (17),absent,Dead,0,24.142857142857142,CC,Other
RED002157,VCC030577,AnEh,316,212,190,ThBa,10628,7864,6703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6351,0,0,0,0,0,0,0,0,CA052010577,2008-11-18,Dead: Infectious death,2008-11-25,2008-05-29,M,NA,NA,NA,NA,3,2008-12-01,Yes,Lymphoblastic interstitial pneumonia,Dead,Theileria parva,Anaemia,Trypanosomiasis,Magombe East (20),absent,Dead,1,26.571428571428573,CC,ECF
RED002158,VRC260039,AnEh,48751,30582,22311,ThBa,8124,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA010210039,2008-11-19,Alive,NA,2008-05-20,M,3.5,3,11,2.5,26,NA,NA,NA,Alive,NA,NA,NA,Kidera (2),NA,Alive,0,51,CT,No
