"calf_id","calf_sex","weight","sample_week","agro_ecological_zones"
"CA030710202","M","26",6,"Otimong (7)"
"CA051910552","M","54",31,"Bujwanga (19)"
"CA051910558","M","35",11,"Bujwanga (19)"
"CA051910555","F","40",21,"Bujwanga (19)"
"CA031010281","F","NA",41,"Bukati (10)"
"CA041510426","M","89",51,"Namboboto (15)"
"CA041510427","M","69",51,"Namboboto (15)"
"CA041510432","M","60",31,"Namboboto (15)"
"CA041510434","F","62",26,"Namboboto (15)"
"CA052010584","F","40",26,"Magombe East (20)"
"CA020510129","F","NA",46,"Kamunuoit (5)"
"CA020510133","F","45",31,"Kamunuoit (5)"
"CA020510130","F","NA",41,"Kamunuoit (5)"
"CA020510134","M","50",26,"Kamunuoit (5)"
"CA020510131","F","NA",41,"Kamunuoit (5)"
"CA020510136","F","34",21,"Kamunuoit (5)"
"CA031110307","F","81.5",51,"Ikonzo (11)"
"CA031110309","F","NA",46,"Ikonzo (11)"
"CA031110313","F","43",31,"Ikonzo (11)"
"CA031110318","M","29.5",11,"Ikonzo (11)"
"CA031110314","F","26",26,"Ikonzo (11)"
"CA031110319","M","27",6,"Ikonzo (11)"
"CA030810218","M","61.5",51,"Igero (8)"
"CA030810228","M","36.5",16,"Igero (8)"
"CA030810227","M","39",21,"Igero (8)"
"CA030810221","M","NA",41,"Igero (8)"
"CA030810223","M","NA",36,"Igero (8)"
"CA030810219","M","NA",46,"Igero (8)"
"CA031310381","F","15",6,"Yiro West (13)"
"CA031310371","M","NA",41,"Yiro West (13)"
"CA031310375","M","45",26,"Yiro West (13)"
"CA031310377","M","35",16,"Yiro West (13)"
"CA031310378","M","32",16,"Yiro West (13)"
"CA031310372","F","NA",36,"Yiro West (13)"
"CA010110010","M","75.5",51,"East Siboti (1)"
"CA010110020","M","32",16,"East Siboti (1)"
"CA010110019","M","50",16,"East Siboti (1)"
"CA010110021","M","26",11,"East Siboti (1)"
"CA010110022","F","37",6,"East Siboti (1)"
"CA020610165","M","67",31,"Karisa (6)"
"CA020610164","F","NA",36,"Karisa (6)"
"CA020610171","M","40",11,"Karisa (6)"
"CA020610166","F","61",26,"Karisa (6)"
"CA031210342","F","NA",36,"Bumala A (12)"
"CA031210347","M","27",6,"Bumala A (12)"
"CA031210345","F","45",11,"Bumala A (12)"
"CA041610465","F","28",16,"Ojwando B (16)"
"CA041610466","F","26",16,"Ojwando B (16)"
"CA020410103","F","30",31,"Mabusi (4)"
"CA020410097","F","63",51,"Mabusi (4)"
"CA020410098","M","91",51,"Mabusi (4)"
"CA020410108","M","30",16,"Mabusi (4)"
"CA020410099","F","NA",46,"Mabusi (4)"
"CA020410100","M","NA",46,"Mabusi (4)"
"CA030710189","F","50",51,"Otimong (7)"
"CA030710200","F","25",11,"Otimong (7)"
"CA030710190","F","50",51,"Otimong (7)"
"CA030710195","F","49",31,"Otimong (7)"
"CA030710197","M","80",26,"Otimong (7)"
"CA051910548","F","NA",46,"Bujwanga (19)"
"CA051910557","F","45",16,"Bujwanga (19)"
"CA051910559","F","26",6,"Bujwanga (19)"
"CA041710488","M","NA",46,"Kodiere (17)"
"CA041710489","F","NA",41,"Kodiere (17)"
"CA041710499","M","30",11,"Kodiere (17)"
"CA041710497","M","40",16,"Kodiere (17)"
"CA010310066","F","35",51,"Kokare (3)"
"CA010310076","F","34",16,"Kokare (3)"
"CA010310067","F","72.5",51,"Kokare (3)"
"CA010310068","F","NA",46,"Kokare (3)"
"CA010310079","F","25",11,"Kokare (3)"
"CA010310072","F","NA",36,"Kokare (3)"
"CA030910245","M","43.5",51,"Bulwani (9)"
"CA030910260","M","19",6,"Bulwani (9)"
"CA030910254","F","29",26,"Bulwani (9)"
"CA031010290","F","29",11,"Bukati (10)"
"CA051910554","F","35",26,"Bujwanga (19)"
"CA041710501","M","27",6,"Kodiere (17)"
"CA041710500","F","40",6,"Kodiere (17)"
"CA041710495","M","45",26,"Kodiere (17)"
"CA041710498","F","33",11,"Kodiere (17)"
"CA010310070","F","NA",41,"Kokare (3)"
"CA010310071","M","NA",36,"Kokare (3)"
"CA010310077","F","33",16,"Kokare (3)"
"CA010310078","F","31",11,"Kokare (3)"
"CA010310075","M","43",21,"Kokare (3)"
"CA010310074","M","57",26,"Kokare (3)"
"CA030910250","M","NA",41,"Bulwani (9)"
"CA030910247","F","NA",46,"Bulwani (9)"
"CA010310081","M","30",6,"Kokare (3)"
"CA030910248","M","NA",46,"Bulwani (9)"
"CA030910255","M","41",26,"Bulwani (9)"
"CA030910251","F","NA",36,"Bulwani (9)"
"CA030910249","F","NA",41,"Bulwani (9)"
"CA030910259","F","35",11,"Bulwani (9)"
"CA041510433","M","NA",33.2857142857143,"Namboboto (15)"
"CA051810526","F","31",16,"Luanda (18)"
"CA051810529","F","25",11,"Luanda (18)"
"CA051810530","F","37",6,"Luanda (18)"
"CA031410410","F","27",6,"Simur East (14)"
"CA031410401","M","NA",41,"Simur East (14)"
"CA031410403","F","NA",36,"Simur East (14)"
"CA031410409","M","41",11,"Simur East (14)"
"CA031410402","F","NA",36,"Simur East (14)"
"CA031410405","F","49",26,"Simur East (14)"
"CA031410400","F","NA",41,"Simur East (14)"
"CA010210050","M","24",11,"Kidera (2)"
"CA010210040","F","NA",46,"Kidera (2)"
"CA010210045","F","49",26,"Kidera (2)"
"CA010210042","F","NA",41,"Kidera (2)"
"CA010210047","F","26",16,"Kidera (2)"
"CA031010288","M","41",16,"Bukati (10)"
"CA031010283","M","NA",41,"Bukati (10)"
"CA031010285","M","52",26,"Bukati (10)"
"CA031010289","M","35",11,"Bukati (10)"
"CA031010291","M","31",6,"Bukati (10)"
"CA031010286","F","60",26,"Bukati (10)"
"CA031010284","F","60",31,"Bukati (10)"
"CA041510429","M","NA",46,"Namboboto (15)"
"CA041510437","F","29",11,"Namboboto (15)"
"CA041510430","M","NA",41,"Namboboto (15)"
"CA041510431","M","NA",41,"Namboboto (15)"
"CA041510436","M","44",16,"Namboboto (15)"
"CA020510132","M","NA",41,"Kamunuoit (5)"
"CA020510140","M","41",11,"Kamunuoit (5)"
"CA020510131","F","NA",46,"Kamunuoit (5)"
"CA020510135","M","NA",26,"Kamunuoit (5)"
"CA020510136","F","38",26,"Kamunuoit (5)"
"CA020510139","F","33",11,"Kamunuoit (5)"
"CA020510141","M","28",6,"Kamunuoit (5)"
"CA031110315","F","38",26,"Ikonzo (11)"
"CA031110310","F","NA",46,"Ikonzo (11)"
"CA031110317","F","29",16,"Ikonzo (11)"
"CA031110320","M","24",6,"Ikonzo (11)"
"CA031110311","M","NA",41,"Ikonzo (11)"
"CA031110312","F","NA",41,"Ikonzo (11)"
"CA030810222","M","NA",41,"Igero (8)"
"CA030810232","F","31",6,"Igero (8)"
"CA030810231","F","25",6,"Igero (8)"
"CA030810230","F","28",11,"Igero (8)"
"CA030810229","M","32",11,"Igero (8)"
"CA030810226","M","45",26,"Igero (8)"
"CA030810225","F","NA",31,"Igero (8)"
"CA030810224","F","NA",36,"Igero (8)"
"CA031310379","F","33",16,"Yiro West (13)"
"CA031310382","F","24",6,"Yiro West (13)"
"CA031310374","M","NA",36,"Yiro West (13)"
"CA031310380","M","33",16,"Yiro West (13)"
"CA031310369","M","NA",46,"Yiro West (13)"
"CA031310373","M","NA",41,"Yiro West (13)"
"CA010110018","F","55",26,"East Siboti (1)"
"CA010110013","F","NA",46,"East Siboti (1)"
"CA010110023","F","33",6,"East Siboti (1)"
"CA030910246","F","54",51,"Bulwani (9)"
"CA030910253","M","34",31,"Bulwani (9)"
"CA030910257","M","31",16,"Bulwani (9)"
"CA051810523","F","NA",36,"Luanda (18)"
"CA031410396","M","93",51,"Simur East (14)"
"CA031410397","M","49.5",51,"Simur East (14)"
"CA031410398","M","NA",46,"Simur East (14)"
"CA031410408","F","32",16,"Simur East (14)"
"CA031410407","M","44",16,"Simur East (14)"
"CA031410406","M","38",21,"Simur East (14)"
"CA010210039","M","66.5",51,"Kidera (2)"
"CA010210049","M","33",11,"Kidera (2)"
"CA010210046","F","39",26,"Kidera (2)"
"CA010210044","M","36",31,"Kidera (2)"
"CA010210041","M","NA",46,"Kidera (2)"
"CA010210043","M","NA",36,"Kidera (2)"
"CA031010279","F","64.5",51,"Bukati (10)"
"CA031010280","F","44.5",51,"Bukati (10)"
"CA031010287","M","60",16,"Bukati (10)"
"CA031010282","F","NA",41,"Bukati (10)"
"CA041510428","F","92",51,"Namboboto (15)"
"CA041510433","M","NA",36,"Namboboto (15)"
"CA041510432","M","NA",36,"Namboboto (15)"
"CA041510434","F","NA",36,"Namboboto (15)"
"CA052010584","F","46",31,"Magombe East (20)"
"CA020510138","M","40",16,"Kamunuoit (5)"
"CA020510130","F","NA",46,"Kamunuoit (5)"
"CA020510134","M","55",31,"Kamunuoit (5)"
"CA020510129","F","59",51,"Kamunuoit (5)"
"CA020510133","F","NA",36,"Kamunuoit (5)"
"CA031110309","F","56",51,"Ikonzo (11)"
"CA031110313","F","NA",36,"Ikonzo (11)"
"CA031110316","M","50",26,"Ikonzo (11)"
"CA031110318","M","30",16,"Ikonzo (11)"
"CA031110319","M","32",11,"Ikonzo (11)"
"CA030810219","M","73.5",51,"Igero (8)"
"CA030810220","F","50",51,"Igero (8)"
"CA030810228","M","42",21,"Igero (8)"
"CA030810227","M","48",26,"Igero (8)"
"CA030810221","M","NA",46,"Igero (8)"
"CA030810223","M","NA",41,"Igero (8)"
"CA031310381","F","15",11,"Yiro West (13)"
"CA031310371","M","NA",46,"Yiro West (13)"
"CA031310375","M","39",31,"Yiro West (13)"
"CA031310377","M","39",21,"Yiro West (13)"
"CA031310378","M","35",21,"Yiro West (13)"
"CA031310372","F","NA",41,"Yiro West (13)"
"CA010110019","M","55",21,"East Siboti (1)"
"CA010110021","M","29",16,"East Siboti (1)"
"CA010110015","M","NA",36,"East Siboti (1)"
"CA010110022","F","46",11,"East Siboti (1)"
"CA010110020","M","38",21,"East Siboti (1)"
"CA010110014","F","NA",41,"East Siboti (1)"
"CA010110017","F","65",31,"East Siboti (1)"
"CA020610168","M","NA",26,"Karisa (6)"
"CA020610167","M","60",31,"Karisa (6)"
"CA020610164","F","NA",41,"Karisa (6)"
"CA020610165","M","NA",36,"Karisa (6)"
"CA020610171","M","51",16,"Karisa (6)"
"CA020610173","M","38",6,"Karisa (6)"
"CA020610166","F","65",31,"Karisa (6)"
"CA020610175","F","28",6,"Karisa (6)"
"CA041710488","M","NA",48.8571428571429,"Kodiere (17)"
"CA031210347","M","36",11,"Bumala A (12)"
"CA031210342","F","NA",41,"Bumala A (12)"
"CA031210348","F","27.5",6,"Bumala A (12)"
"CA031210349","M","32",6,"Bumala A (12)"
"CA031210345","F","46",16,"Bumala A (12)"
"CA041610470","F","31",11,"Ojwando B (16)"
"CA041610466","F","34",21,"Ojwando B (16)"
"CA020410099","F","62.5",51,"Mabusi (4)"
"CA020410108","M","31",21,"Mabusi (4)"
"CA020410103","F","NA",36,"Mabusi (4)"
"CA020510142","F","24",1,"Kamunuoit (5)"
"CA031410412","M","16.5",1,"Simur East (14)"
"CA052010591","F","16",1,"Magombe East (20)"
"CA030810233","M","19",1,"Igero (8)"
"CA010310082","M","19",1,"Kokare (3)"
"CA010110024","M","19",1,"East Siboti (1)"
"CA031210350","M","21",1,"Bumala A (12)"
"CA020610174","M","25",1,"Karisa (6)"
"CA020410113","M","23",1,"Mabusi (4)"
"CA020410114","F","22",1,"Mabusi (4)"
"CA030910263","F","21.5",1,"Bulwani (9)"
"CA030910262","M","23",1,"Bulwani (9)"
"CA052010592","F","15",1,"Magombe East (20)"
"CA051910569","M","17",1,"Bujwanga (19)"
"CA041610471","F","20",1,"Ojwando B (16)"
"CA041610472","F","20",1,"Ojwando B (16)"
"CA010310083","F","19",1,"Kokare (3)"
"CA010310081","M","33",11,"Kokare (3)"
"CA010110025","F","16",1,"East Siboti (1)"
"CA020510142","F","NA",3.71428571428571,"Kamunuoit (5)"
"CA030710205","M","NA",1,"Otimong (7)"
"CA010210053","F","15",1,"Kidera (2)"
"CA031010294","F","21.5",1,"Bukati (10)"
"CA031310383","F","20",1,"Yiro West (13)"
"CA031310384","M","14",1,"Yiro West (13)"
"CA051810533","M","19.5",1,"Luanda (18)"
"CA052010593","M","24",1,"Magombe East (20)"
"CA031410413","M","21",1,"Simur East (14)"
"CA010210054","F","15",1,"Kidera (2)"
"CA031110317","F","34",21,"Ikonzo (11)"
"CA031110316","M","NA",31,"Ikonzo (11)"
"CA020510143","F","16",1,"Kamunuoit (5)"
"CA020510144","F","21",1,"Kamunuoit (5)"
"CA031310385","F","18.5",1,"Yiro West (13)"
"CA030810234","M","22",1,"Igero (8)"
"CA031110324","M","21",1,"Ikonzo (11)"
"CA010110026","M","24",1,"East Siboti (1)"
"CA010110027","F","20",1,"East Siboti (1)"
"CA020410116","F","23",1,"Mabusi (4)"
"CA020410109","M","47",26,"Mabusi (4)"
"CA020410105","M","NA",36,"Mabusi (4)"
"CA020410106","F","NA",36,"Mabusi (4)"
"CA020410112","M","29",11,"Mabusi (4)"
"CA020410111","M","61",16,"Mabusi (4)"
"CA020410114","F","37",6,"Mabusi (4)"
"CA020410103","F","NA",41,"Mabusi (4)"
"CA030710206","F","22",1,"Otimong (7)"
"CA020610176","M","23",1,"Karisa (6)"
"CA030910264","F","19",1,"Bulwani (9)"
"CA020610170","F","33",16,"Karisa (6)"
"CA020610163","M","NA",46,"Karisa (6)"
"CA020610162","M","NA",46,"Karisa (6)"
"CA020610169","F","40",21,"Karisa (6)"
"CA031210346","F","31",11,"Bumala A (12)"
"CA031210340","F","NA",41,"Bumala A (12)"
"CA031210343","M","62",26,"Bumala A (12)"
"CA041610464","F","35",31,"Ojwando B (16)"
"CA041610468","M","29",16,"Ojwando B (16)"
"CA020410110","F","37",16,"Mabusi (4)"
"CA020410102","M","NA",41,"Mabusi (4)"
"CA020410101","M","NA",46,"Mabusi (4)"
"CA020410109","M","46",21,"Mabusi (4)"
"CA020410106","F","33",31,"Mabusi (4)"
"CA030710198","F","36",26,"Otimong (7)"
"CA030710196","M","41",31,"Otimong (7)"
"CA030710199","F","30",21,"Otimong (7)"
"CA030710204","M","16",6,"Otimong (7)"
"CA030710197","M","NA",31,"Otimong (7)"
"CA030710203","M","25",6,"Otimong (7)"
"CA051910560","F","25",6,"Bujwanga (19)"
"CA051910552","M","NA",36,"Bujwanga (19)"
"CA051910555","F","46",26,"Bujwanga (19)"
"CA051910554","F","43",31,"Bujwanga (19)"
"CA051910558","M","42",16,"Bujwanga (19)"
"CA041710500","F","44",11,"Kodiere (17)"
"CA041710498","F","40",16,"Kodiere (17)"
"CA041710495","M","51",31,"Kodiere (17)"
"CA041710501","M","36",11,"Kodiere (17)"
"CA010310071","M","NA",41,"Kokare (3)"
"CA010310070","F","NA",46,"Kokare (3)"
"CA010310078","F","32",16,"Kokare (3)"
"CA010310074","M","67",31,"Kokare (3)"
"CA010310075","M","52",26,"Kokare (3)"
"CA030910257","M","32",21,"Bulwani (9)"
"CA030910259","F","42",16,"Bulwani (9)"
"CA030910249","F","NA",46,"Bulwani (9)"
"CA030910251","F","NA",41,"Bulwani (9)"
"CA030910250","M","NA",46,"Bulwani (9)"
"CA030910255","M","47",31,"Bulwani (9)"
"CA051810526","F","46",21,"Luanda (18)"
"CA051810529","F","32",16,"Luanda (18)"
"CA051810530","F","40",11,"Luanda (18)"
"CA051810523","F","NA",41,"Luanda (18)"
"CA031410410","F","31",11,"Simur East (14)"
"CA031410401","M","NA",46,"Simur East (14)"
"CA031410403","F","NA",41,"Simur East (14)"
"CA031410409","M","47",16,"Simur East (14)"
"CA031410402","F","NA",41,"Simur East (14)"
"CA031410405","F","50",31,"Simur East (14)"
"CA031410400","F","NA",46,"Simur East (14)"
"CA010210050","M","29",16,"Kidera (2)"
"CA010210042","F","NA",46,"Kidera (2)"
"CA010210051","M","36",6,"Kidera (2)"
"CA010210045","F","60",31,"Kidera (2)"
"CA010210047","F","29",21,"Kidera (2)"
"CA010210052","M","35",6,"Kidera (2)"
"CA031010288","M","45",21,"Bukati (10)"
"CA031010283","M","NA",46,"Bukati (10)"
"CA031010285","M","56",31,"Bukati (10)"
"CA031010289","M","37",16,"Bukati (10)"
"CA031010291","M","34",11,"Bukati (10)"
"CA031010284","F","NA",36,"Bukati (10)"
"CA041510437","F","33",16,"Namboboto (15)"
"CA041510431","M","NA",46,"Namboboto (15)"
"CA041510436","M","52",21,"Namboboto (15)"
"CA052010591","F","21",6,"Magombe East (20)"
"CA020410100","M","85",51,"Mabusi (4)"
"CA020410111","M","52",11,"Mabusi (4)"
"CA020410112","M","21",6,"Mabusi (4)"
"CA030710191","M","55",51,"Otimong (7)"
"CA030710192","M","70.5",51,"Otimong (7)"
"CA030710195","F","NA",36,"Otimong (7)"
"CA030710200","F","25",16,"Otimong (7)"
"CA030710202","M","28",11,"Otimong (7)"
"CA051910548","F","62",51,"Bujwanga (19)"
"CA051910557","F","54",21,"Bujwanga (19)"
"CA051910561","M","25",6,"Bujwanga (19)"
"CA051910559","F","35",11,"Bujwanga (19)"
"CA041710489","F","NA",46,"Kodiere (17)"
"CA041710499","M","33",16,"Kodiere (17)"
"CA041710497","M","45",21,"Kodiere (17)"
"CA010310068","F","58",51,"Kokare (3)"
"CA010310076","F","39",21,"Kokare (3)"
"CA010310077","F","33",21,"Kokare (3)"
"CA010310072","F","NA",41,"Kokare (3)"
"CA010310079","F","30",16,"Kokare (3)"
"CA030910248","M","70",51,"Bulwani (9)"
"CA030910253","M","NA",36,"Bulwani (9)"
"CA030910261","M","24",6,"Bulwani (9)"
"CA030910260","M","24",11,"Bulwani (9)"
"CA031410398","M","46",51,"Simur East (14)"
"CA031410411","F","29",6,"Simur East (14)"
"CA031410408","F","33",21,"Simur East (14)"
"CA031410407","M","49",21,"Simur East (14)"
"CA031410406","M","38",26,"Simur East (14)"
"CA031410412","M","19",6,"Simur East (14)"
"CA010210049","M","38",16,"Kidera (2)"
"CA010210040","F","68",51,"Kidera (2)"
"CA010210043","M","NA",41,"Kidera (2)"
"CA010210041","M","63.5",51,"Kidera (2)"
"CA010210044","M","NA",36,"Kidera (2)"
"CA010210046","F","47",31,"Kidera (2)"
"CA031010286","F","62",31,"Bukati (10)"
"CA031010293","M","26",6,"Bukati (10)"
"CA031010287","M","69",21,"Bukati (10)"
"CA031010292","M","34",6,"Bukati (10)"
"CA031010282","F","NA",46,"Bukati (10)"
"CA031010290","F","30",16,"Bukati (10)"
"CA041510429","M","98.5",51,"Namboboto (15)"
"CA041510433","M","NA",41,"Namboboto (15)"
"CA041510432","M","NA",41,"Namboboto (15)"
"CA041510434","F","NA",41,"Namboboto (15)"
"CA041510430","M","NA",46,"Namboboto (15)"
"CA052010584","F","NA",36,"Magombe East (20)"
"CA020510130","F","82",51,"Kamunuoit (5)"
"CA020510134","M","NA",36,"Kamunuoit (5)"
"CA020510131","F","31",51,"Kamunuoit (5)"
"CA020510136","F","44",31,"Kamunuoit (5)"
"CA020510133","F","NA",41,"Kamunuoit (5)"
"CA031110310","F","48",51,"Ikonzo (11)"
"CA031110318","M","32",21,"Ikonzo (11)"
"CA031110322","F","30",6,"Ikonzo (11)"
"CA031110319","M","36",16,"Ikonzo (11)"
"CA030810221","M","49",51,"Igero (8)"
"CA030810224","F","NA",41,"Igero (8)"
"CA030810233","M","33",6,"Igero (8)"
"CA030810229","M","37",16,"Igero (8)"
"CA030810226","M","45",31,"Igero (8)"
"CA030810230","F","35",16,"Igero (8)"
"CA030810227","M","55",31,"Igero (8)"
"CA030810228","M","45",26,"Igero (8)"
"CA030810222","M","NA",46,"Igero (8)"
"CA030810231","F","25",11,"Igero (8)"
"CA030810223","M","NA",46,"Igero (8)"
"CA051910555","F","45",31,"Bujwanga (19)"
"CA031410407","M","NA",26,"Simur East (14)"
"CA031410403","F","NA",46,"Simur East (14)"
"CA052010592","F","20",6,"Magombe East (20)"
"CA020510132","M","NA",46,"Kamunuoit (5)"
"CA020510138","M","46",21,"Kamunuoit (5)"
"CA020510139","F","37",16,"Kamunuoit (5)"
"CA020510141","M","36",11,"Kamunuoit (5)"
"CA020510135","M","NA",31,"Kamunuoit (5)"
"CA020510140","M","49",16,"Kamunuoit (5)"
"CA031110315","F","45",31,"Ikonzo (11)"
"CA031110312","F","NA",46,"Ikonzo (11)"
"CA031110313","F","NA",41,"Ikonzo (11)"
"CA031110323","F","28",6,"Ikonzo (11)"
"CA031110311","M","NA",46,"Ikonzo (11)"
"CA031110320","M","28",11,"Ikonzo (11)"
"CA031110321","M","30",6,"Ikonzo (11)"
"CA030810232","F","42",11,"Igero (8)"
"CA031310380","M","37",21,"Yiro West (13)"
"CA031310373","M","NA",46,"Yiro West (13)"
"CA031310379","F","36.5",21,"Yiro West (13)"
"CA031310382","F","27",11,"Yiro West (13)"
"CA031310374","M","NA",41,"Yiro West (13)"
"CA010110014","F","NA",46,"East Siboti (1)"
"CA010110023","F","39",11,"East Siboti (1)"
"CA010110018","F","60",31,"East Siboti (1)"
"CA010110025","F","20",6,"East Siboti (1)"
"CA010110017","F","NA",36,"East Siboti (1)"
"CA010110024","M","25",6,"East Siboti (1)"
"CA020610174","M","36",6,"Karisa (6)"
"CA020610167","M","NA",36,"Karisa (6)"
"CA020610170","F","33.5",21,"Karisa (6)"
"CA020610169","F","42",26,"Karisa (6)"
"CA020610168","M","NA",31,"Karisa (6)"
"CA020610175","F","41",11,"Karisa (6)"
"CA020610166","F","NA",36,"Karisa (6)"
"CA020610173","M","49",11,"Karisa (6)"
"CA031210339","M","69",51,"Bumala A (12)"
"CA031210342","F","NA",46,"Bumala A (12)"
"CA031210340","F","NA",46,"Bumala A (12)"
"CA031210343","M","NA",31,"Bumala A (12)"
"CA041610464","F","NA",36,"Ojwando B (16)"
"CA041610468","M","30",21,"Ojwando B (16)"
"CA020410110","F","49",21,"Mabusi (4)"
"CA020410101","M","71",51,"Mabusi (4)"
"CA020410108","M","37",26,"Mabusi (4)"
"CA020410102","M","NA",46,"Mabusi (4)"
"CA020410113","M","30",6,"Mabusi (4)"
"CA030710198","F","39",31,"Otimong (7)"
"CA030710196","M","NA",36,"Otimong (7)"
"CA030710199","F","29",26,"Otimong (7)"
"CA030710202","M","34",16,"Otimong (7)"
"CA051910552","M","NA",41,"Bujwanga (19)"
"CA051910558","M","40",21,"Bujwanga (19)"
"CA051910569","M","24",6,"Bujwanga (19)"
"CA051910554","F","NA",36,"Bujwanga (19)"
"CA041710501","M","36",16,"Kodiere (17)"
"CA010310078","F","38",21,"Kokare (3)"
"CA010310081","M","37",16,"Kokare (3)"
"CA010310074","M","NA",36,"Kokare (3)"
"CA010310075","M","55",31,"Kokare (3)"
"CA010310083","F","22",6,"Kokare (3)"
"CA030910260","M","24",16,"Bulwani (9)"
"CA030910257","M","34.5",26,"Bulwani (9)"
"CA030910253","M","NA",41,"Bulwani (9)"
"CA030910259","F","48",21,"Bulwani (9)"
"CA030910251","F","NA",46,"Bulwani (9)"
"CA030910255","M","NA",36,"Bulwani (9)"
"CA041710500","F","46",16,"Kodiere (17)"
"CA041710498","F","44",21,"Kodiere (17)"
"CA041710495","M","NA",36,"Kodiere (17)"
"CA010310082","M","22",6,"Kokare (3)"
"CA010310076","F","41",26,"Kokare (3)"
"CA010310071","M","NA",47.2857142857143,"Kokare (3)"
"CA031210351","F","27",11,"Bumala A (12)"
"CA041610471","F","36",16,"Ojwando B (16)"
"CA041610472","F","55",16,"Ojwando B (16)"
"CA041610466","F","NA",36,"Ojwando B (16)"
"CA020410116","F","39",11,"Mabusi (4)"
"CA020410108","M","NA",36,"Mabusi (4)"
"CA031010291","M","44",26,"Bukati (10)"
"CA030910258","M","NA",36,"Bulwani (9)"
"CA031210348","F","NA",36,"Bumala A (12)"
"CA031210354","F","45",21,"Bumala A (12)"
"CA031210351","F","NA",26,"Bumala A (12)"
"CA031210346","F","NA",41,"Bumala A (12)"
"CA031210349","M","NA",36,"Bumala A (12)"
"CA051910565","M","31",21,"Bujwanga (19)"
"CA051910558","M","NA",46,"Bujwanga (19)"
"CA051910561","M","NA",36,"Bujwanga (19)"
"CA051910559","F","NA",41,"Bujwanga (19)"
"CA030710204","M","NA",36,"Otimong (7)"
"CA030710205","M","38",31,"Otimong (7)"
"CA030710206","F","43",26,"Otimong (7)"
"CA030710208","F","NA",21,"Otimong (7)"
"CA030710207","F","45.5",21,"Otimong (7)"
"CA031010288","M","71",51,"Bukati (10)"
"CA031010292","M","NA",36,"Bukati (10)"
"CA031010293","M","NA",36,"Bukati (10)"
"CA031010287","M","130.5",51,"Bukati (10)"
"CA041510436","M","88.5",51,"Namboboto (15)"
"CA020510138","M","78.5",51,"Kamunuoit (5)"
"CA020510143","F","43",31,"Kamunuoit (5)"
"CA020510145","M","31",21,"Kamunuoit (5)"
"CA020510148","M","38",16,"Kamunuoit (5)"
"CA031110318","M","38",51,"Ikonzo (11)"
"CA031110319","M","NA",46,"Ikonzo (11)"
"CA031110320","M","NA",41,"Ikonzo (11)"
"CA031110322","F","NA",36,"Ikonzo (11)"
"CA030810235","F","60.5",26,"Igero (8)"
"CA030810229","M","NA",46,"Igero (8)"
"CA030810236","M","45",21,"Igero (8)"
"CA030810231","F","NA",41,"Igero (8)"
"CA041710507","M","NA",17,"Kodiere (17)"
"CA031310384","M","29.5",31,"Yiro West (13)"
"CA031310379","F","47",51,"Yiro West (13)"
"CA031310380","M","54",51,"Yiro West (13)"
"CA031310386","M","52",26,"Yiro West (13)"
"CA010110022","F","NA",46,"East Siboti (1)"
"CA020610178","F","55",26,"Karisa (6)"
"CA010110026","M","67",31,"East Siboti (1)"
"CA020610171","M","96.5",51,"Karisa (6)"
"CA020610170","F","51.5",51,"Karisa (6)"
"CA020610179","M","38",21,"Karisa (6)"
"CA031210345","F","94.5",51,"Bumala A (12)"
"CA031210348","F","NA",41,"Bumala A (12)"
"CA031210349","M","NA",41,"Bumala A (12)"
"CA031210347","M","NA",46,"Bumala A (12)"
"CA041610471","F","NA",36,"Ojwando B (16)"
"CA031310371","M","59.5",51,"Yiro West (13)"
"CA031310369","M","66",51,"Yiro West (13)"
"CA031310378","M","39",26,"Yiro West (13)"
"CA031310375","M","NA",36,"Yiro West (13)"
"CA031310372","F","NA",46,"Yiro West (13)"
"CA010110013","F","61.5",51,"East Siboti (1)"
"CA010110019","M","60",26,"East Siboti (1)"
"CA010110021","M","27",21,"East Siboti (1)"
"CA010110015","M","NA",41,"East Siboti (1)"
"CA010110022","F","51",16,"East Siboti (1)"
"CA010110020","M","41",26,"East Siboti (1)"
"CA020610163","M","95.5",51,"Karisa (6)"
"CA020610162","M","49",51,"Karisa (6)"
"CA020610165","M","NA",41,"Karisa (6)"
"CA020610164","F","NA",46,"Karisa (6)"
"CA020610171","M","60",21,"Karisa (6)"
"CA031210347","M","43",16,"Bumala A (12)"
"CA031210348","F","30.5",11,"Bumala A (12)"
"CA031210345","F","53",21,"Bumala A (12)"
"CA031210346","F","36",16,"Bumala A (12)"
"CA031210349","M","41",11,"Bumala A (12)"
"CA031210350","M","31.5",6,"Bumala A (12)"
"CA041610472","F","35",6,"Ojwando B (16)"
"CA041610471","F","28",6,"Ojwando B (16)"
"CA041610470","F","35.5",16,"Ojwando B (16)"
"CA041610466","F","39",26,"Ojwando B (16)"
"CA041610473","F","16.5",1,"Ojwando B (16)"
"CA030710204","M","15.5",11,"Otimong (7)"
"CA030710195","F","NA",41,"Otimong (7)"
"CA030710197","M","NA",36,"Otimong (7)"
"CA030710205","M","24.5",6,"Otimong (7)"
"CA030710203","M","29.5",11,"Otimong (7)"
"CA030710200","F","26.5",21,"Otimong (7)"
"CA051910557","F","59",26,"Bujwanga (19)"
"CA051910561","M","30",11,"Bujwanga (19)"
