"calf_id","calf_sex","weight","sample_week","agro_ecological_zones"
"CA010110009","F","18",1,"East Siboti (1)"
"CA010110008","M","18",1,"East Siboti (1)"
"CA030710185","M","NA",15.1428571428571,"Otimong (7)"
"CA020410095","M","22",1,"Mabusi (4)"
"CA020410096","F","20",1,"Mabusi (4)"
"CA030710188","M","20",1,"Otimong (7)"
"CA030910244","M","17",1,"Bulwani (9)"
"CA020510121","F","NA",24,"Kamunuoit (5)"
"CA010310063","M","40",21,"Kokare (3)"
"CA010310062","F","35",21,"Kokare (3)"
"CA010110001","F","NA",27.2857142857143,"East Siboti (1)"
"CA010310065","F","23",1,"Kokare (3)"
"CA020610158","M","NA",3,"Karisa (6)"
"CA031010277","F","19",1,"Bukati (10)"
"CA031010278","F","20",1,"Bukati (10)"
"CA031410394","M","15",1,"Simur East (14)"
"CA010210037","F","21",1,"Kidera (2)"
"CA031410395","F","17",1,"Simur East (14)"
"CA010110002","M","NA",28.8571428571429,"East Siboti (1)"
"CA010210038","M","20",1,"Kidera (2)"
"CA030810215","F","NA",19,"Igero (8)"
"CA030810214","F","NA",19.8571428571429,"Igero (8)"
"CA031110307","F","18",1,"Ikonzo (11)"
"CA041510426","M","24",1,"Namboboto (15)"
"CA020510127","F","16",1,"Kamunuoit (5)"
"CA031310363","M","NA",19,"Yiro West (13)"
"CA031210331","M","NA",29.1428571428571,"Bumala A (12)"
"CA052010576","M","16",1,"Magombe East (20)"
"CA020610151","M","NA",24,"Karisa (6)"
"CA051810517","M","21",6,"Luanda (18)"
"CA051810515","F","25",16,"Luanda (18)"
"CA051810511","M","44",26,"Luanda (18)"
"CA031410393","F","28",16,"Simur East (14)"
"CA031410392","F","33",16,"Simur East (14)"
"CA031410391","M","63",26,"Simur East (14)"
"CA010210036","F","20",6,"Kidera (2)"
"CA010210035","F","22",6,"Kidera (2)"
"CA010210032","F","44",21,"Kidera (2)"
"CA010210034","F","41",16,"Kidera (2)"
"CA010210033","F","36",21,"Kidera (2)"
"CA010210031","F","35",26,"Kidera (2)"
"CA031010272","M","52",26,"Bukati (10)"
"CA031010273","M","29",21,"Bukati (10)"
"CA031010274","M","35",16,"Bukati (10)"
"CA031010275","F","40",16,"Bukati (10)"
"CA031010276","M","23",6,"Bukati (10)"
"CA041510425","F","24",16,"Namboboto (15)"
"CA041510421","M","52",26,"Namboboto (15)"
"CA041510423","F","43",21,"Namboboto (15)"
"CA041510424","F","26",21,"Namboboto (15)"
"CA052010575","F","23",6,"Magombe East (20)"
"CA052010571","M","56",26,"Magombe East (20)"
"CA010310061","F","NA",28,"Kokare (3)"
"CA031010273","M","NA",21.2857142857143,"Bukati (10)"
"CA031110302","M","NA",21.1428571428571,"Ikonzo (11)"
"CA052010572","M","49",21,"Magombe East (20)"
"CA052010574","F","31",16,"Magombe East (20)"
"CA020510123","M","34",21,"Kamunuoit (5)"
"CA020510122","M","49",26,"Kamunuoit (5)"
"CA020510121","F","44",26,"Kamunuoit (5)"
"CA020510126","F","22",6,"Kamunuoit (5)"
"CA020510124","M","35",16,"Kamunuoit (5)"
"CA020510125","F","24",6,"Kamunuoit (5)"
"CA031110302","M","53",21,"Ikonzo (11)"
"CA031110303","F","30",21,"Ikonzo (11)"
"CA031110305","M","26",16,"Ikonzo (11)"
"CA031110301","F","39",21,"Ikonzo (11)"
"CA031110304","F","33",16,"Ikonzo (11)"
"CA031110306","F","22",6,"Ikonzo (11)"
"CA030810215","F","35",21,"Igero (8)"
"CA030810216","M","25",16,"Igero (8)"
"CA030810217","M","19",6,"Igero (8)"
"CA030810212","M","49",26,"Igero (8)"
"CA030810213","M","31",26,"Igero (8)"
"CA031310363","M","41",21,"Yiro West (13)"
"CA031310362","M","55",26,"Yiro West (13)"
